sal_code,sal_name,state,latitude,longitude,area_km2,sa2_mappings,police_district,police_mapping_confidence,classification_type,economic_base,last_updated,data_source
50143,Boodarie,WA,-20.505647212713637,118.52596363606855,7.202887357034048e-08,[],,0.0,Regional Town,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50144,Boodarockin,WA,-30.953694624636356,118.84719458225545,3.044889258350293e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50145,Bookara,WA,-29.094205395956617,114.90451215557289,1.3080260204412677e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50146,Boonanarring,WA,-31.199859204670535,115.87663924014,1.8692856784218064e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50147,Boorabbin,WA,-30.916255852462985,120.14849556544671,2.143921706518377e-07,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50148,Booragoon,WA,-32.03948241241561,115.8338052425579,2.9216516657130945e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50149,Booralaming,WA,-30.906828415728633,117.37773423556287,2.8760555316812933e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50150,Boorara,WA,-30.80397526465192,121.64122429758974,3.3262099310308446e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50151,Boorara Brook,WA,-34.67177923505265,116.20832486940027,2.7564646154034052e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50152,Bootenal,WA,-28.84999748937439,114.73016716774295,2.369877608163335e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50153,Boothendarra,WA,-30.245851813575594,115.65987230619956,5.8953736124215094e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50154,Boranup,WA,-34.12411123020972,115.04655019810515,1.0287382460301732e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50155,Borden,WA,-34.072946128652866,118.26016504999197,7.689236096154116e-11,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50156,Borderdale,WA,-34.05342501105267,117.39998750233529,1.4272788082682402e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
